Date,Campaign,Campaign Id,Ad Group,Ad ID,Impressions,Clicks,Conversions (1-Per-Click),Interactions,Avg Position,Cost
8/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,2,0
9/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
10/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,23,0,0,0,1.2,0
11/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
12/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,7,0,0,0,1.1,0
13/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,2,0
14/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,13,1,0,1,1,21.49
15/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,31,2,0,2,1.1,8.02
16/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,1,0,1,1,4.86
17/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,4,0
18/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1,0
19/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,3,0
20/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,2,0
21/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
22/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,41,0,0,0,1,0
23/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,6,0,0,0,1,0
24/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,517,6,0,6,1,11.6
25/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,9,0,0,0,1.1,0
26/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,2,0
27/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
28/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
29/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
30/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,31,0,0,0,1.8,0
31/12/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,106,2,0,2,1,8.23
1/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,2,0
2/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
3/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
4/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,1,0
5/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,284,0,0,0,1,0
6/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,9,0,0,0,1,0
7/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
8/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,10,0,0,0,1.4,0
9/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
10/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,51,1,0,1,1,1.34
11/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,1.2,0
12/1/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,1.6,0
13/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
14/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
15/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,2,0
16/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,41,0,0,0,2.4,0
17/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,28,0,0,0,1,0
18/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1421,2,0,2,1,4.26
19/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,17,0,0,0,3.2,0
20/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,10,0,0,0,1.3,0
21/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,10,0,0,0,1,0
22/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1762,5,0,5,1,12.65
23/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.3,0
24/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,16,0,0,0,1.5,0
25/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,15,2,0,2,1.1,30.17
26/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,61,0,0,0,1.5,0
27/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
28/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.3,0
29/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
30/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,1,0,1,1,1.62
31/01/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,13,1,0,1,1,2.55
1/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,2,0
2/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.3,0
3/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
4/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,78,1,0,1,1,1.26
5/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,10,0,0,0,1.6,0
6/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
7/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,19,0,0,0,2.4,0
8/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,6,0,0,0,1.8,0
9/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
10/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.7,0
11/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,11,0,0,0,1.5,0
12/2/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,93,2,0,2,1.3,23.17
13/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,2,0
14/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.7,0
15/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
16/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,11,0,0,0,1.5,0
17/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
18/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,14,1,0,1,1.2,3.92
19/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1.5,0
20/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,7,0,0,0,1,0
21/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,2,0
22/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,426,0,0,0,1,0
23/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,44,0,0,0,1,0
24/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,20,0,0,0,1.5,0
25/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.3,0
26/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,11,0,0,0,1,0
27/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,1,0
28/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
29/02/2016 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,28,0,0,0,3.7,0
1/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,1.8,0
2/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,2,0
3/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,162,0,0,0,1,0
4/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
5/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,1,0
6/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,14,0,0,0,1.5,0
7/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
8/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,2,0
9/3/2016 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
